image,actual,predicted,caption,tags
39192398_1120128498137782_1781545369159598080_n.jpg,0,1,"Rakhi special ❤️ Homemade Pav Bhaji 😊

Follow@foodie_punjaban

#rakhi #2018 #foodie #foodblogger #foodlover #foodtalk #foodieforlife #foodporn #nomnom #saharanpur #mazzaaagaya #lovedit #homesweethome #festivalmodeon #bhaibehen #pavbhaji #tasteatitsbest #moms #momisthebest","['rakhi', 'nomnom', 'saharanpur', 'foodlover', '2018', 'homesweethome', 'foodblogger', 'tasteatitsbest', 'moms', 'foodie', 'mazzaaagaya', 'festivalmodeon', 'bhaibehen', 'pavbhaji', 'lovedit', 'foodporn', 'foodieforlife', 'momisthebest', 'foodtalk']"
39744547_231289940899288_5133092913563041792_n.jpg,0,1,#cooking #pavbhaji #somethingnew,"['pavbhaji', 'cooking', 'somethingnew']"
39525726_438548496655066_4753851892646281216_n.jpg,0,1,"#pavbhaji topped with cheese.

Pav bhaji is a popular dish from India, consisting of a thick vegetable curry and is served with a soft bread roll.
And...
My all time fave drink besides chai in India... Watermelon juice 😊
#vegetarian#exploremumbai#solotravel#glt
#lunch #travel #mumbai #RamKrishna#food #eatout #restaurant @sheisnotlost #instafood#love#passionpassport #fastfood#mumbaifood #indianfood #india#travelgram#food52grams #tasty#foodie","['mumbai', 'foodie', 'indianfood', 'lunch', 'passionpassport', 'travel', 'vegetarian', 'eatout', 'instafood', 'solotravel', 'fastfood', 'RamKrishna', 'india', 'love', 'food52grams', 'restaurant', 'mumbaifood', 'food', 'tasty', 'travelgram', 'pavbhaji', 'exploremumbai', 'glt']"
39378694_2186656501618843_8748965522890031104_n.jpg,1,0,"The next time ur around Crawford market and hungry after a long shopping session give the old favourite Badshah a miss and satiate your hungerpangs at Sadanand .. Trust me that the food is 10 times better in terms of taste and freshness and this is coming from someone who used to love the food and juices at Badshah .. In frame is the khada pav bhaji which was bang on the money in terms of flavour and spices 👍👍 , Happy Friday everyone ♥️♥️ #foodmaniacindia #foodtalkindia #nycfoodie #mumbaifoodlovers #illgrammers #flashesofdelight #mumbaifood  #foodofmumbai #mumbaifoodie #mymumbai #hautecuisines #things2doinmumbai 
#foodoftheday #shutuploudly #kindcomments #bhgfood #whatiate #shoottokill #jj_mobilephotography #photographers_of_india #culturetrip #onmytable #gastropost#eeeeats #delhifoodie#mumbai_igers  #pavbhaji #bombay#fridaymood #soi","['foodofmumbai', 'bhgfood', 'foodmaniacindia', 'delhifoodie', 'fridaymood', 'photographers_of_india', 'hautecuisines', 'mumbaifoodie', 'shutuploudly', 'shoottokill', 'whatiate', 'mymumbai', 'soi', 'nycfoodie', 'things2doinmumbai', 'gastropost', 'mumbai_igers', 'mumbaifoodlovers', 'onmytable', 'eeeeats', 'jj_mobilephotography', 'mumbaifood', 'bombay', 'foodoftheday', 'illgrammers', 'culturetrip', 'pavbhaji', 'kindcomments', 'foodtalkindia', 'flashesofdelight']"
39138498_239937570027979_3896829174895083520_n.jpg,0,1,"Cheating the diet today also 😑 with these....⬅️ Momos from Hari momos and pavbhaji from Lal chat bhandar located in C1-A  MarketJanakpuri
.
.
.
Taste- *Momos- thick layer,less filling but tasty..
*Pavbhaji- buttery bhaji 😋 ,spicy chutney, tangy onions and softbuns.. It was yumm.
.
.
.
PS- The extremely hot weather spoiled the mealout experience...
.
.
.Follow @mad_over_food for more true reviews.
.
.
.
#food#foodies#love for food#food bloggers#lovetoeat#snacks#pavbhaji
#eveningsnacks#streetfood#momos#hotweather#spicyfood#indianfood","['momos', 'spicyfood', 'food', 'love', 'indianfood', 'streetfood', 'pavbhaji', 'lovetoeat', 'foodies', 'hotweather', 'snacks', 'eveningsnacks']"
20590186_1136380956463100_8896999366112313344_n.jpg,1,0,#pavbhaji #pavbhajilove,"['pavbhaji', 'pavbhajilove']"
39242129_227300597947996_2020018089625649152_n.jpg,0,1,"So this special dish was prepared yesterday evening and is dedicated to all those vegetarians out there! Known on Indian streets as Pav Bhaji, its a medley of steamed vegetables, mashed and cooked with onions, tomatoes and peppers on slow fire with a mix of spice powders, fresh ginger-garlic and with a generous dollop of butter! The best way to enjoy this is with grilled and buttered pav or burger like buns and some fresh onion slices on the side. If you like it spicy, like I do, add lots of fresh green chillies and dry red chillies into the bhaji dish. 
It always takes me back to my university days in Pune (a town outside Mumbai) where this dish was readily available at our university canteen, road side stalls and all fast food restaurants. #foodmemories #food #pavbhaji #homemade #cookingclass #cookery #cooking #indianfood #surreyfood #muddystilettos #goodfood #surrey #vegetarian #eat #delicious #foodie😋 #streetfood #spices #curry","['surreyfood', 'spices', 'muddystilettos', 'food', 'eat', 'surrey', 'cookery', 'vegetarian', 'pavbhaji', 'foodie', 'streetfood', 'cooking', 'curry', 'foodmemories', 'delicious', 'indianfood', 'cookingclass', 'homemade', 'goodfood']"
39028851_272170493391426_1607096094087446528_n.jpg,1,0,#pavbhaji,['pavbhaji']
38826877_288496381743438_7919164372285390848_n.jpg,1,0,"When it comes to love and food, nothing can beat our dearest mommies..😘😍
#homemade #pavbhaji #breakfastready
.
.
#foodie #foodism #foodlover #foodislife #foodporn #foodgram #foodinstagram #foodphotography #phonephotography #nomnom #foodreviewer #foodtraveler #foodwalks #exploreindia #delhi #delhifoodie #delhi_igers #delhigram #sodelhi #delhincr #likeforlike #likes4likes #nomnom #indianfood #foodaholic #foodmaniacindia #exploringdelhi
.
Happy Eid to all #pinch_of_mazic 🤗","['foodgram', 'foodphotography', 'delhincr', 'foodmaniacindia', 'delhifoodie', 'foodie', 'breakfastready', 'foodaholic', 'indianfood', 'likeforlike', 'foodlover', 'foodreviewer', 'exploringdelhi', 'pinch_of_mazic', 'foodporn', 'exploreindia', 'nomnom', 'foodwalks', 'phonephotography', 'foodinstagram', 'likes4likes', 'foodism', 'foodislife', 'foodtraveler', 'delhigram', 'pavbhaji', 'delhi', 'delhi_igers', 'sodelhi', 'homemade']"
39486044_443243472830930_236961269934981120_n.jpg,0,1,Pav Bhaji recipe made fresh #pavbhaji #londondiaries🇬🇧 #mumbai #streetfood #vegetables #yummyfoods #cheffoodietrudie #chef #homecooked,"['yummyfoods', 'vegetables', 'londondiaries', 'mumbai', 'homecooked', 'streetfood', 'pavbhaji', 'chef', 'cheffoodietrudie']"
